prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,context_text,target_text,continuation_text,suffix_text,full_text,prompt_source,hu_test_suite_path,hu_test_suite_item_number,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space
g18__g18_046__template_default__adequate_good,g18,Gotzner et al. (2018),g18_046,adequate/good,adequate,good,adequate,good,adj,default,"It is adequate, but not good.",0.44,True,cross-scale/human_data/g18.csv,"It is adequate, but not",good, good,.,"It is adequate, but not good.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/adequate_good.json,1,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_005__template_default__ajar_open,g18,Gotzner et al. (2018),g18_005,ajar/open,ajar,open,ajar,open,adj,default,"It is ajar, but not open.",0.11,True,cross-scale/human_data/g18.csv,"It is ajar, but not",open, open,.,"It is ajar, but not open.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/ajar_open.json,22,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_062__template_default__allowed_obligatory,g18,Gotzner et al. (2018),g18_062,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,default,"It is allowed, but not obligatory.",0.73,True,cross-scale/human_data/g18.csv,"It is allowed, but not",obligatory, obligatory,.,"It is allowed, but not obligatory.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/allowed_obligatory.json,1042,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_052__template_default__annoyed_angry,g18,Gotzner et al. (2018),g18_052,annoyed/angry,annoyed,angry,annoyed,angry,adj,default,"She is annoyed, but not angry.",0.51,True,cross-scale/human_data/g18.csv,"She is annoyed, but not",angry, angry,.,"She is annoyed, but not angry.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/annoyed_angry.json,62,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_001__template_default__attractive_stunning,g18,Gotzner et al. (2018),g18_001,attractive/stunning,attractive,stunning,attractive,stunning,adj,default,"He is attractive, but not stunning.",0.08,True,cross-scale/human_data/g18.csv,"He is attractive, but not",stunning, stunning,.,"He is attractive, but not stunning.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/attractive_stunning.json,1001,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_049__template_default__bent_twisted,g18,Gotzner et al. (2018),g18_049,bent/twisted,bent,twisted,bent,twisted,adj,default,"It is bent, but not twisted.",0.46,True,cross-scale/human_data/g18.csv,"It is bent, but not",twisted, twisted,.,"It is bent, but not twisted.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/bent_twisted.json,1035,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_006__template_default__big_enormous,g18,Gotzner et al. (2018),g18_006,big/enormous,big,enormous,big,enormous,adj,default,"She is big, but not enormous.",0.14,True,cross-scale/human_data/g18.csv,"She is big, but not",enormous, enormous,.,"She is big, but not enormous.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/big_enormous.json,211,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_023__template_default__calm_unflappable,g18,Gotzner et al. (2018),g18_023,calm/unflappable,calm,unflappable,calm,unflappable,adj,default,"She is calm, but not unflappable.",0.25,True,cross-scale/human_data/g18.csv,"She is calm, but not",unflappable, unflappable,.,"She is calm, but not unflappable.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/calm_unflappable.json,1015,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_065__template_default__cheap_free,g18,Gotzner et al. (2018),g18_065,cheap/free,cheap,free,cheap,free,adj,default,"It is cheap, but not free.",0.76,True,cross-scale/human_data/g18.csv,"It is cheap, but not",free, free,.,"It is cheap, but not free.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cheap_free.json,33,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_036__template_default__chubby_fat,g18,Gotzner et al. (2018),g18_036,chubby/fat,chubby,fat,chubby,fat,adj,default,"She is chubby, but not fat.",0.32,True,cross-scale/human_data/g18.csv,"She is chubby, but not",fat, fat,.,"She is chubby, but not fat.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/chubby_fat.json,1025,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_025__template_default__clean_spotless,g18,Gotzner et al. (2018),g18_025,clean/spotless,clean,spotless,clean,spotless,adj,default,"It is clean, but not spotless.",0.27,True,cross-scale/human_data/g18.csv,"It is clean, but not",spotless, spotless,.,"It is clean, but not spotless.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/clean_spotless.json,1017,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_054__template_default__cleanish_clean,g18,Gotzner et al. (2018),g18_054,cleanish/clean,cleanish,clean,cleanish,clean,adj,default,"It is cleanish, but not clean.",0.55,True,cross-scale/human_data/g18.csv,"It is cleanish, but not",clean, clean,.,"It is cleanish, but not clean.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cleanish_clean.json,1038,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_051__template_default__cold_freezing,g18,Gotzner et al. (2018),g18_051,cold/freezing,cold,freezing,cold,freezing,adj,default,"It is cold, but not freezing.",0.49,True,cross-scale/human_data/g18.csv,"It is cold, but not",freezing, freezing,.,"It is cold, but not freezing.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cold_freezing.json,1036,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_020__template_default__content_happy,g18,Gotzner et al. (2018),g18_020,content/happy,content,happy,content,happy,adj,default,"He is content, but not happy.",0.22,True,cross-scale/human_data/g18.csv,"He is content, but not",happy, happy,.,"He is content, but not happy.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/content_happy.json,19,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_045__template_default__cool_cold,g18,Gotzner et al. (2018),g18_045,cool/cold,cool,cold,cool,cold,adj,default,"It is cool, but not cold.",0.43,True,cross-scale/human_data/g18.csv,"It is cool, but not",cold, cold,.,"It is cool, but not cold.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cool_cold.json,1032,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_010__template_default__damaged_broken,g18,Gotzner et al. (2018),g18_010,damaged/broken,damaged,broken,damaged,broken,adj,default,"It is damaged, but not broken.",0.16,True,cross-scale/human_data/g18.csv,"It is damaged, but not",broken, broken,.,"It is damaged, but not broken.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/damaged_broken.json,1008,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_031__template_default__damp_wet,g18,Gotzner et al. (2018),g18_031,damp/wet,damp,wet,damp,wet,adj,default,"It is damp, but not wet.",0.3,True,cross-scale/human_data/g18.csv,"It is damp, but not",wet, wet,.,"It is damp, but not wet.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/damp_wet.json,1020,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_040__template_default__dark_black,g18,Gotzner et al. (2018),g18_040,dark/black,dark,black,dark,black,adj,default,"That is dark, but not black.",0.37,True,cross-scale/human_data/g18.csv,"That is dark, but not",black, black,.,"That is dark, but not black.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/dark_black.json,39,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_064__template_default__difficult_impossible,g18,Gotzner et al. (2018),g18_064,difficult/impossible,difficult,impossible,difficult,impossible,adj,default,"It is difficult, but not impossible.",0.76,True,cross-scale/human_data/g18.csv,"It is difficult, but not",impossible, impossible,.,"It is difficult, but not impossible.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/difficult_impossible.json,67,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_007__template_default__dirty_filthy,g18,Gotzner et al. (2018),g18_007,dirty/filthy,dirty,filthy,dirty,filthy,adj,default,"It is dirty, but not filthy.",0.14,True,cross-scale/human_data/g18.csv,"It is dirty, but not",filthy, filthy,.,"It is dirty, but not filthy.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/dirty_filthy.json,1005,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_002__template_default__drunk_plastered,g18,Gotzner et al. (2018),g18_002,drunk/plastered,drunk,plastered,drunk,plastered,adj,default,"He is drunk, but not plastered.",0.11,True,cross-scale/human_data/g18.csv,"He is drunk, but not",plastered, plastered,.,"He is drunk, but not plastered.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/drunk_plastered.json,1002,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_018__template_default__dry_parched,g18,Gotzner et al. (2018),g18_018,dry/parched,dry,parched,dry,parched,adj,default,"It is dry, but not parched.",0.22,True,cross-scale/human_data/g18.csv,"It is dry, but not",parched, parched,.,"It is dry, but not parched.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/dry_parched.json,1012,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_008__template_default__fat_obese,g18,Gotzner et al. (2018),g18_008,fat/obese,fat,obese,fat,obese,adj,default,"He is fat, but not obese.",0.16,True,cross-scale/human_data/g18.csv,"He is fat, but not",obese, obese,.,"He is fat, but not obese.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/fat_obese.json,1006,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_044__template_default__faulty_non-functional,g18,Gotzner et al. (2018),g18_044,faulty/non-functional,faulty,non-functional,faulty,non-functional,adj,default,"It is faulty, but not non-functional.",0.39,True,cross-scale/human_data/g18.csv,"It is faulty, but not",non-functional, non-functional,.,"It is faulty, but not non-functional.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/faulty_non-functional.json,1031,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_026__template_default__funny_hilarious,g18,Gotzner et al. (2018),g18_026,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"That is funny, but not hilarious.",0.27,True,cross-scale/human_data/g18.csv,"That is funny, but not",hilarious, hilarious,.,"That is funny, but not hilarious.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/funny_hilarious.json,265,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_059__template_default__good_excellent,g18,Gotzner et al. (2018),g18_059,good/excellent,good,excellent,good,excellent,adj,default,"It is good, but not excellent.",0.65,True,cross-scale/human_data/g18.csv,"It is good, but not",excellent, excellent,.,"It is good, but not excellent.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/good_excellent.json,1041,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_055__template_default__good_perfect,g18,Gotzner et al. (2018),g18_055,good/perfect,good,perfect,good,perfect,adj,default,"It is good, but not perfect.",0.58,True,cross-scale/human_data/g18.csv,"It is good, but not",perfect, perfect,.,"It is good, but not perfect.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/good_perfect.json,1039,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_013__template_default__happy_delighted,g18,Gotzner et al. (2018),g18_013,happy/delighted,happy,delighted,happy,delighted,adj,default,"He is happy, but not delighted.",0.19,True,cross-scale/human_data/g18.csv,"He is happy, but not",delighted, delighted,.,"He is happy, but not delighted.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/happy_delighted.json,221,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_053__template_default__hard_unsolvable,g18,Gotzner et al. (2018),g18_053,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,default,"It is hard, but not unsolvable.",0.52,True,cross-scale/human_data/g18.csv,"It is hard, but not",unsolvable, unsolvable,.,"It is hard, but not unsolvable.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/hard_unsolvable.json,1037,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_038__template_default__hot_scalding,g18,Gotzner et al. (2018),g18_038,hot/scalding,hot,scalding,hot,scalding,adj,default,"It is hot, but not scalding.",0.35,True,cross-scale/human_data/g18.csv,"It is hot, but not",scalding, scalding,.,"It is hot, but not scalding.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/hot_scalding.json,1027,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_041__template_default__hungry_starving,g18,Gotzner et al. (2018),g18_041,hungry/starving,hungry,starving,hungry,starving,adj,default,"He is hungry, but not starving.",0.38,True,cross-scale/human_data/g18.csv,"He is hungry, but not",starving, starving,.,"He is hungry, but not starving.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/hungry_starving.json,1028,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_014__template_default__intelligent_brilliant,g18,Gotzner et al. (2018),g18_014,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,default,"He is intelligent, but not brilliant.",0.19,True,cross-scale/human_data/g18.csv,"He is intelligent, but not",brilliant, brilliant,.,"He is intelligent, but not brilliant.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/intelligent_brilliant.json,1011,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_019__template_default__large_gigantic,g18,Gotzner et al. (2018),g18_019,large/gigantic,large,gigantic,large,gigantic,adj,default,"It is large, but not gigantic.",0.22,True,cross-scale/human_data/g18.csv,"It is large, but not",gigantic, gigantic,.,"It is large, but not gigantic.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/large_gigantic.json,365,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_027__template_default__light_white,g18,Gotzner et al. (2018),g18_027,light/white,light,white,light,white,adj,default,"That is light, but not white.",0.27,True,cross-scale/human_data/g18.csv,"That is light, but not",white, white,.,"That is light, but not white.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/light_white.json,40,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_068__template_default__likely_certain,g18,Gotzner et al. (2018),g18_068,likely/certain,likely,certain,likely,certain,adj,default,"It is likely, but not certain.",0.79,True,cross-scale/human_data/g18.csv,"It is likely, but not",certain, certain,.,"It is likely, but not certain.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/likely_certain.json,61,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_037__template_default__loud_defeaning,g18,Gotzner et al. (2018),g18_037,loud/defeaning,loud,defeaning,loud,defeaning,adj,default,"It is loud, but not defeaning.",0.34,True,cross-scale/human_data/g18.csv,"It is loud, but not",defeaning, defeaning,.,"It is loud, but not defeaning.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/loud_defeaning.json,1026,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_069__template_default__low_depleted,g18,Gotzner et al. (2018),g18_069,low/depleted,low,depleted,low,depleted,adj,default,"It is low, but not depleted.",0.81,True,cross-scale/human_data/g18.csv,"It is low, but not",depleted, depleted,.,"It is low, but not depleted.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/low_depleted.json,1044,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_060__template_default__mediocre_bad,g18,Gotzner et al. (2018),g18_060,mediocre/bad,mediocre,bad,mediocre,bad,adj,default,"It is mediocre, but not bad.",0.7,True,cross-scale/human_data/g18.csv,"It is mediocre, but not",bad, bad,.,"It is mediocre, but not bad.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/mediocre_bad.json,11,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_039__template_default__memorable_unforgettable,g18,Gotzner et al. (2018),g18_039,memorable/unforgettable,memorable,unforgettable,memorable,unforgettable,adj,default,"It is memorable, but not unforgettable.",0.37,True,cross-scale/human_data/g18.csv,"It is memorable, but not",unforgettable, unforgettable,.,"It is memorable, but not unforgettable.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/memorable_unforgettable.json,520,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_033__template_default__old_ancient,g18,Gotzner et al. (2018),g18_033,old/ancient,old,ancient,old,ancient,adj,default,"That is old, but not ancient.",0.32,True,cross-scale/human_data/g18.csv,"That is old, but not",ancient, ancient,.,"That is old, but not ancient.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/old_ancient.json,1022,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True
