item_id,condition,sub_experiment,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,sentence_frame_experiment_1,sentence_frame_experiment_3_guess,prompt_prefix_for_qwen,target_word_seen_by_participants,suffix_after_target,prompt_with_blank,stronger_sentence_guess,only_insertion_method,reconstruction_note,needs_manual_review
1,Eonly,Only,allowed,allowed,obligatory,obligatory,Drinking is allowed.,Drinking is only allowed.,Drinking is only ,allowed,.,Drinking is only ___.,Drinking is only obligatory.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
2,Eonly,Only,attractive,attractive,stunning,stunning,This model is attractive.,This model is only attractive.,This model is only ,attractive,.,This model is only ___.,This model is only stunning.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
3,Eonly,Only,begin,began,complete,completed,John began the race.,John only began the race.,John only ,began, the race.,John only ___ the race.,John only completed the race.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
4,Eonly,Only,believe,believes,know,knows,The teacher believes it is true.,The teacher only believes it is true.,The teacher only ,believes, it is true.,The teacher only ___ it is true.,The teacher only knows it is true.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
5,Eonly,Only,big,big,enormous,enormous,The elephant is big.,The elephant is only big.,The elephant is only ,big,.,The elephant is only ___.,The elephant is only enormous.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
6,Eonly,Only,cool,cool,cold,cold,The weather is cool.,The weather is only cool.,The weather is only ,cool,.,The weather is only ___.,The weather is only cold.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
7,Eonly,Only,damage,damage,destroy,destroy,The machine might damage itself.,The machine might only damage itself.,The machine might only ,damage, itself.,The machine might only ___ itself.,The machine might only destroy itself.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
8,Eonly,Only,dark,dark,black,black,The sky is dark.,The sky is only dark.,The sky is only ,dark,.,The sky is only ___.,The sky is only black.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
9,Eonly,Only,difficult,difficult,impossible,impossible,The task is difficult.,The task is only difficult.,The task is only ,difficult,.,The task is only ___.,The task is only impossible.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
10,Eonly,Only,dirty,dirty,filthy,filthy,Zack's carpet was dirty.,Zack's carpet was only dirty.,Zack's carpet was only ,dirty,.,Zack's carpet was only ___.,Zack's carpet was only filthy.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
11,Eonly,Only,dislike,dislikes,loathe,loathes,The doctor dislikes coffee.,The doctor only dislikes coffee.,The doctor only ,dislikes, coffee.,The doctor only ___ coffee.,The doctor only loathes coffee.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
12,Eonly,Only,double,double,triple,triple,The sales will double.,The sales will only double.,The sales will only ,double,.,The sales will only ___.,The sales will only triple.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
13,Eonly,Only,equally,equally,more,more,That candidate is equally skilled.,That candidate is only equally skilled.,That candidate is only ,equally, skilled.,That candidate is only ___ skilled.,That candidate is only more skilled.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
14,Eonly,Only,funny,funny,hilarious,hilarious,The movie is funny.,The movie is only funny.,The movie is only ,funny,.,The movie is only ___.,The movie is only hilarious.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
15,Eonly,Only,good,good,excellent,excellent,The movie is good.,The movie is only good.,The movie is only ,good,.,The movie is only ___.,The movie is only excellent.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
16,Eonly,Only,happy,happy,ecstatic,ecstatic,The winner was happy.,The winner was only happy.,The winner was only ,happy,.,The winner was only ___.,The winner was only ecstatic.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
17,Eonly,Only,hard,hard,unsolvable,unsolvable,The problem is hard.,The problem is only hard.,The problem is only ,hard,.,The problem is only ___.,The problem is only unsolvable.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
18,Eonly,Only,harmful,harmful,deadly,deadly,The toxin is harmful.,The toxin is only harmful.,The toxin is only ,harmful,.,The toxin is only ___.,The toxin is only deadly.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
19,Eonly,Only,here,here,everywhere,everywhere,There is water here.,There is only water here.,There is only water ,here,.,There is only water ___.,There is only water everywhere.,prefix_override,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,yes
20,Eonly,Only,hungry,hungry,starving,starving,The boy is hungry.,The boy is only hungry.,The boy is only ,hungry,.,The boy is only ___.,The boy is only starving.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
21,Eonly,Only,intelligent,intelligent,brilliant,brilliant,The student is intelligent.,The student is only intelligent.,The student is only ,intelligent,.,The student is only ___.,The student is only brilliant.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
22,Eonly,Only,intimidating,intimidating,terrifying,terrifying,Chris's opponent was intimidating.,Chris's opponent was only intimidating.,Chris's opponent was only ,intimidating,.,Chris's opponent was only ___.,Chris's opponent was only terrifying.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
23,Eonly,Only,largely,largely,totally,totally,The coast was largely flooded.,The coast was only largely flooded.,The coast was only ,largely, flooded.,The coast was only ___ flooded.,The coast was only totally flooded.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
24,Eonly,Only,like,likes,love,loves,The princess likes dancing.,The princess only likes dancing.,The princess only ,likes, dancing.,The princess only ___ dancing.,The princess only loves dancing.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
25,Eonly,Only,match,matches,exceed,exceeds,Bill's score matches Al's.,Bill's score only matches Al's.,Bill's score only ,matches, Al's.,Bill's score only ___ Al's.,Bill's score only exceeds Al's.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
26,Eonly,Only,mostly,mostly,entirely,entirely,Peter's answers were mostly wrong.,Peter's answers were only mostly wrong.,Peter's answers were only ,mostly, wrong.,Peter's answers were only ___ wrong.,Peter's answers were only entirely wrong.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
27,Eonly,Only,old,old,ancient,ancient,The house is old.,The house is only old.,The house is only ,old,.,The house is only ___.,The house is only ancient.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
28,Eonly,Only,once,once,twice,twice,Mistakes happened once.,Mistakes happened only once.,Mistakes happened only ,once,.,Mistakes happened only ___.,Mistakes happened only twice.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
29,Eonly,Only,or,or,and,and,Jimmy writes books or plays.,Jimmy writes only books or plays.,Jimmy writes only books ,or, plays.,Jimmy writes only books ___ plays.,Jimmy writes only books and plays.,prefix_override,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,yes
30,Eonly,Only,overweight,overweight,obese,obese,The teenager is overweight.,The teenager is only overweight.,The teenager is only ,overweight,.,The teenager is only ___.,The teenager is only obese.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
31,Eonly,Only,overwhelmingly,overwhelmingly,unanimously,unanimously,The measure was supported overwhelmingly.,The measure was supported only overwhelmingly.,The measure was supported only ,overwhelmingly,.,The measure was supported only ___.,The measure was supported only unanimously.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
32,Eonly,Only,palatable,palatable,delicious,delicious,The wine is palatable.,The wine is only palatable.,The wine is only ,palatable,.,The wine is only ___.,The wine is only delicious.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
33,Eonly,Only,partially,partially,completely,completely,The tank is partially full.,The tank is only partially full.,The tank is only ,partially, full.,The tank is only ___ full.,The tank is only completely full.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
34,Eonly,Only,permit,permits,require,requires,The club permits dancing.,The club only permits dancing.,The club only ,permits, dancing.,The club only ___ dancing.,The club only requires dancing.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
35,Eonly,Only,polished,polished,impeccable,impeccable,Ann's speech was polished.,Ann's speech was only polished.,Ann's speech was only ,polished,.,Ann's speech was only ___.,Ann's speech was only impeccable.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
36,Eonly,Only,possible,possible,certain,certain,Success is possible.,Success is only possible.,Success is only ,possible,.,Success is only ___.,Success is only certain.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
37,Eonly,Only,pretty,pretty,beautiful,beautiful,The girl is pretty.,The girl is only pretty.,The girl is only ,pretty,.,The girl is only ___.,The girl is only beautiful.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
38,Eonly,Only,primarily,primarily,exclusively,exclusively,The residents are primarily Greek.,The residents are only primarily Greek.,The residents are only ,primarily, Greek.,The residents are only ___ Greek.,The residents are only exclusively Greek.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
39,Eonly,Only,probably,probably,necessarily,necessarily,A delay will probably occur.,A delay will only probably occur.,A delay will only ,probably, occur.,A delay will only ___ occur.,A delay will only necessarily occur.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
40,Eonly,Only,reduce,reduced,eliminate,eliminated,The city reduced waste.,The city only reduced waste.,The city only ,reduced, waste.,The city only ___ waste.,The city only eliminated waste.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
41,Eonly,Only,scared,scared,petrified,petrified,Stu's daughter was scared.,Stu's daughter was only scared.,Stu's daughter was only ,scared,.,Stu's daughter was only ___.,Stu's daughter was only petrified.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
42,Eonly,Only,serious,serious,life-threatening,life-threatening,Kaye's illness was serious.,Kaye's illness was only serious.,Kaye's illness was only ,serious,.,Kaye's illness was only ___.,Kaye's illness was only life-threatening.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
43,Eonly,Only,similar,similar,identical,identical,The two paintings are similar.,The two paintings are only similar.,The two paintings are only ,similar,.,The two paintings are only ___.,The two paintings are only identical.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
44,Eonly,Only,slow,slowed,stop,stopped,The train slowed.,The train only slowed.,The train only ,slowed,.,The train only ___.,The train only stopped.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
45,Eonly,Only,small,small,tiny,tiny,The fish is small.,The fish is only small.,The fish is only ,small,.,The fish is only ___.,The fish is only tiny.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
46,Eonly,Only,snug,snug,tight,tight,The shirt is snug.,The shirt is only snug.,The shirt is only ,snug,.,The shirt is only ___.,The shirt is only tight.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
47,Eonly,Only,some,some,all,all,Cecilia trusts some politicians.,Cecilia trusts only some politicians.,Cecilia trusts only ,some, politicians.,Cecilia trusts only ___ politicians.,Cecilia trusts only all politicians.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
48,Eonly,Only,start,started,finish,finished,The runner started.,The runner only started.,The runner only ,started,.,The runner only ___.,The runner only finished.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
49,Eonly,Only,survive,survived,thrive,thrived,The plant survived.,The plant only survived.,The plant only ,survived,.,The plant only ___.,The plant only thrived.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
50,Eonly,Only,tired,tired,exhausted,exhausted,The worker is tired.,The worker is only tired.,The worker is only ,tired,.,The worker is only ___.,The worker is only exhausted.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
51,Eonly,Only,tolerate,tolerate,encourage,encourage,Joey's parents tolerate dating.,Joey's parents only tolerate dating.,Joey's parents only ,tolerate, dating.,Joey's parents only ___ dating.,Joey's parents only encourage dating.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
52,Eonly,Only,try,tried,succeed,succeeded,The candidate tried.,The candidate only tried.,The candidate only ,tried,.,The candidate only ___.,The candidate only succeeded.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
53,Eonly,Only,ugly,ugly,hideous,hideous,The wallpaper is ugly.,The wallpaper is only ugly.,The wallpaper is only ,ugly,.,The wallpaper is only ___.,The wallpaper is only hideous.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
54,Eonly,Only,understandable,understandable,articulate,articulate,Tom's interview was understandable.,Tom's interview was only understandable.,Tom's interview was only ,understandable,.,Tom's interview was only ___.,Tom's interview was only articulate.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
55,Eonly,Only,unpleasant,unpleasant,disgusting,disgusting,Tim's bathroom was unpleasant.,Tim's bathroom was only unpleasant.,Tim's bathroom was only ,unpleasant,.,Tim's bathroom was only ___.,Tim's bathroom was only disgusting.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
56,Eonly,Only,usually,usually,always,always,The lawyer is usually early.,The lawyer is only usually early.,The lawyer is only ,usually, early.,The lawyer is only ___ early.,The lawyer is only always early.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
57,Eonly,Only,want,wants,need,needs,Phoebe wants a car.,Phoebe only wants a car.,Phoebe only ,wants, a car.,Phoebe only ___ a car.,Phoebe only needs a car.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
58,Eonly,Only,warm,warm,hot,hot,The wather is warm.,The wather is only warm.,The wather is only ,warm,.,The wather is only ___.,The wather is only hot.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
59,Eonly,Only,well,well,superbly,superbly,The rehearsal went well.,The rehearsal only went well.,The rehearsal only went ,well,.,The rehearsal only went ___.,The rehearsal only went superbly.,prefix_override,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,yes
60,Eonly,Only,willing,willing,eager,eager,The waiter is willing.,The waiter is only willing.,The waiter is only ,willing,.,The waiter is only ___.,The waiter is only eager.,insert_only_before_target,Experiment 3 reconstructed from Experiment 1 by adding the focus particle only.,no
