item_id,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,sentence_frame_experiment_1,prompt_prefix,target_word_seen_by_participants,suffix_after_target,prompt_with_blank,stronger_sentence_guess,surface_morphology,target_extraction_method,stronger_guess_method
1,allowed,allowed,obligatory,obligatory,Drinking is allowed.,Drinking is ,allowed,.,Drinking is ___.,Drinking is obligatory.,base,automatic,morphology_match
2,attractive,attractive,stunning,stunning,This model is attractive.,This model is ,attractive,.,This model is ___.,This model is stunning.,base,automatic,morphology_match
3,begin,began,complete,completed,John began the race.,John ,began, the race.,John ___ the race.,John completed the race.,past_tense,item_override,item_override
4,believe,believes,know,knows,The teacher believes it is true.,The teacher ,believes, it is true.,The teacher ___ it is true.,The teacher knows it is true.,third_person_singular,automatic,morphology_match
5,big,big,enormous,enormous,The elephant is big.,The elephant is ,big,.,The elephant is ___.,The elephant is enormous.,base,automatic,morphology_match
6,cool,cool,cold,cold,The weather is cool.,The weather is ,cool,.,The weather is ___.,The weather is cold.,base,automatic,morphology_match
7,damage,damage,destroy,destroy,The machine might damage itself.,The machine might ,damage, itself.,The machine might ___ itself.,The machine might destroy itself.,base,automatic,morphology_match
8,dark,dark,black,black,The sky is dark.,The sky is ,dark,.,The sky is ___.,The sky is black.,base,automatic,morphology_match
9,difficult,difficult,impossible,impossible,The task is difficult.,The task is ,difficult,.,The task is ___.,The task is impossible.,base,automatic,morphology_match
10,dirty,dirty,filthy,filthy,Zack's carpet was dirty.,Zack's carpet was ,dirty,.,Zack's carpet was ___.,Zack's carpet was filthy.,base,automatic,morphology_match
11,dislike,dislikes,loathe,loathes,The doctor dislikes coffee.,The doctor ,dislikes, coffee.,The doctor ___ coffee.,The doctor loathes coffee.,third_person_singular,automatic,morphology_match
12,double,double,triple,triple,The sales will double.,The sales will ,double,.,The sales will ___.,The sales will triple.,base,automatic,morphology_match
13,equally,equally,more,more,That candidate is equally skilled.,That candidate is ,equally, skilled.,That candidate is ___ skilled.,That candidate is more skilled.,base,automatic,morphology_match
