item_id,condition,sub_experiment,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,question_target_type,question_target_surface_guess,answer_sentence_guess,answer_prompt_prefix_guess,answer_target_word_seen_by_participants,answer_suffix_after_target,question_source_statement_guess,question_sentence_guess,question_auxiliary,question_generation_method,prompt_prefix_for_qwen,prompt_with_blank,dialogue_with_stronger_answer_guess,reconstruction_note,needs_manual_review
1,Eweak,Weak QUD,allowed,allowed,obligatory,obligatory,weaker,allowed,Drinking is allowed.,Drinking is ,allowed,.,Drinking is allowed.,Is drinking allowed?,is,aux_inversion,"Sue: Is drinking allowed?
Mary: Drinking is ","Sue: Is drinking allowed?
Mary: Drinking is ___.","Sue: Is drinking allowed?
Mary: Drinking is obligatory.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
1,Estrong,Strong QUD,allowed,allowed,obligatory,obligatory,stronger,obligatory,Drinking is allowed.,Drinking is ,allowed,.,Drinking is obligatory.,Is drinking obligatory?,is,aux_inversion,"Sue: Is drinking obligatory?
Mary: Drinking is ","Sue: Is drinking obligatory?
Mary: Drinking is ___.","Sue: Is drinking obligatory?
Mary: Drinking is obligatory.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
2,Eweak,Weak QUD,attractive,attractive,stunning,stunning,weaker,attractive,This model is attractive.,This model is ,attractive,.,This model is attractive.,Is this model attractive?,is,aux_inversion,"Sue: Is this model attractive?
Mary: This model is ","Sue: Is this model attractive?
Mary: This model is ___.","Sue: Is this model attractive?
Mary: This model is stunning.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
2,Estrong,Strong QUD,attractive,attractive,stunning,stunning,stronger,stunning,This model is attractive.,This model is ,attractive,.,This model is stunning.,Is this model stunning?,is,aux_inversion,"Sue: Is this model stunning?
Mary: This model is ","Sue: Is this model stunning?
Mary: This model is ___.","Sue: Is this model stunning?
Mary: This model is stunning.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
3,Eweak,Weak QUD,begin,began,complete,completed,weaker,began,John began the race.,John ,began, the race.,John began the race.,Did John begin the race?,did,do_support,"Sue: Did John begin the race?
Mary: John ","Sue: Did John begin the race?
Mary: John ___ the race.","Sue: Did John begin the race?
Mary: John completed the race.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
3,Estrong,Strong QUD,begin,began,complete,completed,stronger,completed,John began the race.,John ,began, the race.,John completed the race.,Did John complete the race?,did,do_support,"Sue: Did John complete the race?
Mary: John ","Sue: Did John complete the race?
Mary: John ___ the race.","Sue: Did John complete the race?
Mary: John completed the race.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
4,Eweak,Weak QUD,believe,believes,know,knows,weaker,believes,The teacher believes it is true.,The teacher ,believes, it is true.,The teacher believes it is true.,Does the teacher believe it is true?,does,do_support,"Sue: Does the teacher believe it is true?
Mary: The teacher ","Sue: Does the teacher believe it is true?
Mary: The teacher ___ it is true.","Sue: Does the teacher believe it is true?
Mary: The teacher knows it is true.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
4,Estrong,Strong QUD,believe,believes,know,knows,stronger,knows,The teacher believes it is true.,The teacher ,believes, it is true.,The teacher knows it is true.,Does the teacher know it is true?,does,do_support,"Sue: Does the teacher know it is true?
Mary: The teacher ","Sue: Does the teacher know it is true?
Mary: The teacher ___ it is true.","Sue: Does the teacher know it is true?
Mary: The teacher knows it is true.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
5,Eweak,Weak QUD,big,big,enormous,enormous,weaker,big,The elephant is big.,The elephant is ,big,.,The elephant is big.,Is the elephant big?,is,aux_inversion,"Sue: Is the elephant big?
Mary: The elephant is ","Sue: Is the elephant big?
Mary: The elephant is ___.","Sue: Is the elephant big?
Mary: The elephant is enormous.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
5,Estrong,Strong QUD,big,big,enormous,enormous,stronger,enormous,The elephant is big.,The elephant is ,big,.,The elephant is enormous.,Is the elephant enormous?,is,aux_inversion,"Sue: Is the elephant enormous?
Mary: The elephant is ","Sue: Is the elephant enormous?
Mary: The elephant is ___.","Sue: Is the elephant enormous?
Mary: The elephant is enormous.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
