Time,Participant,Condition,Item,Response.orig,Response,RT
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,44,Yes.,1,6916
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,16,Yes.,1,5314
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,33,Yes.,1,4427
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,41,Yes.,1,5444
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,11,Yes.,1,5594
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,24,Yes.,1,5596
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,4,No.,0,6407
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,49,Yes.,1,8068
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,2,Yes.,1,3751
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,15,Yes.,1,4400
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,30,Yes.,1,4692
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,29,No.,0,6285
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,48,Yes.,1,4992
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,1,Yes.,1,5410
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,38,Yes.,1,5426
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,8,Yes.,1,4574
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,19,Yes.,1,5824
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,18,Yes.,1,2754
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,42,Yes.,1,4902
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,14,Yes.,1,1726
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,55,Yes.,1,3552
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,25,Yes.,1,5837
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,36,Yes.,1,4881
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,10,Yes.,1,3541
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,23,Yes.,1,4953
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,9,Yes.,1,1926
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,22,Yes.,1,4152
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,27,Yes.,1,2465
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,37,Yes.,1,2590
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,54,Yes.,1,3468
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,52,Yes.,1,2995
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,32,Yes.,1,1889
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,17,Yes.,1,4032
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,6,Yes.,1,1187
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,53,Yes.,1,967
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,7,Yes.,1,3068
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,20,Yes.,1,1240
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,13,Yes.,1,2299
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,12,Yes.,1,1124
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,56,Yes.,1,1001
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,46,Yes.,1,903
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,58,Yes.,1,6122
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,31,Yes.,1,1521
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,5,Yes.,1,2052
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,50,Yes.,1,987
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,57,Yes.,1,1166
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,21,Yes.,1,1047
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,3,Yes.,1,998
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,35,Yes.,1,1223
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,59,Yes.,1,1209
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,45,Yes.,1,1098
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,26,Yes.,1,973
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,28,Yes.,1,2571
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,39,Yes.,1,6824
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,51,Yes.,1,1326
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,40,Yes.,1,2330
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,43,Yes.,1,1757
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,47,Yes.,1,981
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,60,Yes.,1,1222
1641943230,68e9180b094120c930663311743ae9a4,Eonlystrong,34,Yes.,1,1368
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,34,Yes.,1,29413
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,38,Yes.,1,15830
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,25,Yes.,1,10006
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,23,Yes.,1,11385
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,59,Yes.,1,5272
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,49,Yes.,1,4325
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,53,Yes.,1,9097
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,58,Yes.,1,3035
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,48,Yes.,1,5629
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,30,Yes.,1,6256
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,52,Yes.,1,3754
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,12,Yes.,1,3732
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,45,Yes.,1,2632
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,32,Yes.,1,4069
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,39,Yes.,1,17392
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,36,Yes.,1,12768
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,24,Yes.,1,2849
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,9,Yes.,1,3656
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,7,Yes.,1,16646
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,37,Yes.,1,3101
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,14,Yes.,1,3808
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,19,Yes.,1,5712
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,26,Yes.,1,5430
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,51,Yes.,1,7632
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,29,Yes.,1,13106
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,43,Yes.,1,2664
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,20,Yes.,1,2899
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,44,Yes.,1,2596
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,35,Yes.,1,3279
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,42,Yes.,1,9961
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,55,Yes.,1,3084
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,57,Yes.,1,36909
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,4,Yes.,1,5753
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,60,Yes.,1,2409
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,2,Yes.,1,3057
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,18,Yes.,1,45587
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,40,Yes.,1,2964
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,28,Yes.,1,2727
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,13,Yes.,1,5755
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,22,Yes.,1,3136
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,41,Yes.,1,2575
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,50,Yes.,1,2860
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,31,Yes.,1,13675
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,16,Yes.,1,7079
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,21,Yes.,1,2646
1641943585,564b5f47e7d2f7137a4e7576a9f5a7a6,Eonlystrong,15,Yes.,1,2662
