prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,weak_sentence_frame,weak_surface_in_sentence,target_text,context_text,continuation_text,moved_prompt_boundary_text,suffix_text,prompt_with_blank,full_text,prompt_source,weak_extraction_method,stronger_surface_method,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space
g18__g18_046__template_default__adequate_good__no_frame,g18,Gotzner et al. (2018),g18_046,adequate/good,adequate,good,adequate,good,adj,default,"It is adequate, but not good.",0.44,True,cross-scale/human_data/g18.csv,It is adequate.,adequate,good,It is, good, ,.,It is ___.,It is good.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_005__template_default__ajar_open__no_frame,g18,Gotzner et al. (2018),g18_005,ajar/open,ajar,open,ajar,open,adj,default,"It is ajar, but not open.",0.11,True,cross-scale/human_data/g18.csv,It is ajar.,ajar,open,It is, open, ,.,It is ___.,It is open.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_062__template_default__allowed_obligatory__no_frame,g18,Gotzner et al. (2018),g18_062,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,default,"It is allowed, but not obligatory.",0.73,True,cross-scale/human_data/g18.csv,It is allowed.,allowed,obligatory,It is, obligatory, ,.,It is ___.,It is obligatory.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_052__template_default__annoyed_angry__no_frame,g18,Gotzner et al. (2018),g18_052,annoyed/angry,annoyed,angry,annoyed,angry,adj,default,"She is annoyed, but not angry.",0.51,True,cross-scale/human_data/g18.csv,She is annoyed.,annoyed,angry,She is, angry, ,.,She is ___.,She is angry.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_001__template_default__attractive_stunning__no_frame,g18,Gotzner et al. (2018),g18_001,attractive/stunning,attractive,stunning,attractive,stunning,adj,default,"He is attractive, but not stunning.",0.08,True,cross-scale/human_data/g18.csv,He is attractive.,attractive,stunning,He is, stunning, ,.,He is ___.,He is stunning.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_049__template_default__bent_twisted__no_frame,g18,Gotzner et al. (2018),g18_049,bent/twisted,bent,twisted,bent,twisted,adj,default,"It is bent, but not twisted.",0.46,True,cross-scale/human_data/g18.csv,It is bent.,bent,twisted,It is, twisted, ,.,It is ___.,It is twisted.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_006__template_default__big_enormous__no_frame,g18,Gotzner et al. (2018),g18_006,big/enormous,big,enormous,big,enormous,adj,default,"She is big, but not enormous.",0.14,True,cross-scale/human_data/g18.csv,She is big.,big,enormous,She is, enormous, ,.,She is ___.,She is enormous.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_023__template_default__calm_unflappable__no_frame,g18,Gotzner et al. (2018),g18_023,calm/unflappable,calm,unflappable,calm,unflappable,adj,default,"She is calm, but not unflappable.",0.25,True,cross-scale/human_data/g18.csv,She is calm.,calm,unflappable,She is, unflappable, ,.,She is ___.,She is unflappable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_065__template_default__cheap_free__no_frame,g18,Gotzner et al. (2018),g18_065,cheap/free,cheap,free,cheap,free,adj,default,"It is cheap, but not free.",0.76,True,cross-scale/human_data/g18.csv,It is cheap.,cheap,free,It is, free, ,.,It is ___.,It is free.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_036__template_default__chubby_fat__no_frame,g18,Gotzner et al. (2018),g18_036,chubby/fat,chubby,fat,chubby,fat,adj,default,"She is chubby, but not fat.",0.32,True,cross-scale/human_data/g18.csv,She is chubby.,chubby,fat,She is, fat, ,.,She is ___.,She is fat.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_025__template_default__clean_spotless__no_frame,g18,Gotzner et al. (2018),g18_025,clean/spotless,clean,spotless,clean,spotless,adj,default,"It is clean, but not spotless.",0.27,True,cross-scale/human_data/g18.csv,It is clean.,clean,spotless,It is, spotless, ,.,It is ___.,It is spotless.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_054__template_default__cleanish_clean__no_frame,g18,Gotzner et al. (2018),g18_054,cleanish/clean,cleanish,clean,cleanish,clean,adj,default,"It is cleanish, but not clean.",0.55,True,cross-scale/human_data/g18.csv,It is cleanish.,cleanish,clean,It is, clean, ,.,It is ___.,It is clean.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
g18__g18_051__template_default__cold_freezing__no_frame,g18,Gotzner et al. (2018),g18_051,cold/freezing,cold,freezing,cold,freezing,adj,default,"It is cold, but not freezing.",0.49,True,cross-scale/human_data/g18.csv,It is cold.,cold,freezing,It is, freezing, ,.,It is ___.,It is freezing.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
