prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,context_text,target_text,continuation_text,suffix_text,full_text,prompt_source,hu_test_suite_path,hu_test_suite_item_number,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space,target_token_ids,target_tokens,target_token_logprobs,target_n_tokens,target_logprob,model_name,model_path,resolved_model_path,torch_dtype,device_map
g18__g18_046__template_default__adequate_good,g18,Gotzner et al. (2018),g18_046,adequate/good,adequate,good,adequate,good,adj,default,"It is adequate, but not good.",0.44,True,cross-scale/human_data/g18.csv,"It is adequate, but not",good, good,.,"It is adequate, but not good.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/adequate_good.json,1,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[1661],"[""Ġgood""]",[-4.040319442749023],1,-4.0403194427,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_005__template_default__ajar_open,g18,Gotzner et al. (2018),g18_005,ajar/open,ajar,open,ajar,open,adj,default,"It is ajar, but not open.",0.11,True,cross-scale/human_data/g18.csv,"It is ajar, but not",open, open,.,"It is ajar, but not open.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/ajar_open.json,22,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[1787],"[""Ġopen""]",[-1.55919349193573],1,-1.5591934919,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_062__template_default__allowed_obligatory,g18,Gotzner et al. (2018),g18_062,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,default,"It is allowed, but not obligatory.",0.73,True,cross-scale/human_data/g18.csv,"It is allowed, but not",obligatory, obligatory,.,"It is allowed, but not obligatory.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/allowed_obligatory.json,1042,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[96924],"[""Ġobligatory""]",[-5.900353908538818],1,-5.9003539085,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_052__template_default__annoyed_angry,g18,Gotzner et al. (2018),g18_052,annoyed/angry,annoyed,angry,annoyed,angry,adj,default,"She is annoyed, but not angry.",0.51,True,cross-scale/human_data/g18.csv,"She is annoyed, but not",angry, angry,.,"She is annoyed, but not angry.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/annoyed_angry.json,62,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[18514],"[""Ġangry""]",[-1.425968885421753],1,-1.4259688854,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_001__template_default__attractive_stunning,g18,Gotzner et al. (2018),g18_001,attractive/stunning,attractive,stunning,attractive,stunning,adj,default,"He is attractive, but not stunning.",0.08,True,cross-scale/human_data/g18.csv,"He is attractive, but not",stunning, stunning,.,"He is attractive, but not stunning.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/attractive_stunning.json,1001,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[19850],"[""Ġstunning""]",[-6.444548606872559],1,-6.4445486069,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_049__template_default__bent_twisted,g18,Gotzner et al. (2018),g18_049,bent/twisted,bent,twisted,bent,twisted,adj,default,"It is bent, but not twisted.",0.46,True,cross-scale/human_data/g18.csv,"It is bent, but not",twisted, twisted,.,"It is bent, but not twisted.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/bent_twisted.json,1035,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[37717],"[""Ġtwisted""]",[-4.317180633544922],1,-4.3171806335,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_006__template_default__big_enormous,g18,Gotzner et al. (2018),g18_006,big/enormous,big,enormous,big,enormous,adj,default,"She is big, but not enormous.",0.14,True,cross-scale/human_data/g18.csv,"She is big, but not",enormous, enormous,.,"She is big, but not enormous.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/big_enormous.json,211,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[22399],"[""Ġenormous""]",[-8.392802238464355],1,-8.3928022385,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_023__template_default__calm_unflappable,g18,Gotzner et al. (2018),g18_023,calm/unflappable,calm,unflappable,calm,unflappable,adj,default,"She is calm, but not unflappable.",0.25,True,cross-scale/human_data/g18.csv,"She is calm, but not",unflappable, unflappable,.,"She is calm, but not unflappable.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/calm_unflappable.json,1015,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[650,1489,86384]","[""Ġun"",""fl"",""appable""]","[-5.747065544128418,-2.1103203296661377,-0.1201617419719696]",3,-7.9775476158,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_065__template_default__cheap_free,g18,Gotzner et al. (2018),g18_065,cheap/free,cheap,free,cheap,free,adj,default,"It is cheap, but not free.",0.76,True,cross-scale/human_data/g18.csv,"It is cheap, but not",free, free,.,"It is cheap, but not free.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/cheap_free.json,33,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[1910],"[""Ġfree""]",[-4.32351016998291],1,-4.3235101700,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_036__template_default__chubby_fat,g18,Gotzner et al. (2018),g18_036,chubby/fat,chubby,fat,chubby,fat,adj,default,"She is chubby, but not fat.",0.32,True,cross-scale/human_data/g18.csv,"She is chubby, but not",fat, fat,.,"She is chubby, but not fat.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/g18/chubby_fat.json,1025,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[8664],"[""Ġfat""]",[-0.8178408741950989],1,-0.8178408742,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
