experiment,source_file,source_row_index,item_id,condition,sub_experiment,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,target_type,target_surface,prompt_text,context_text,moved_prompt_boundary_text,suffix_text,word_continuation_text,word_token_ids,word_tokens,word_token_logprobs,word_n_tokens,word_logprob,candidate_plus_suffix_text,candidate_plus_suffix_token_ids,candidate_plus_suffix_tokens,candidate_plus_suffix_token_logprobs,candidate_plus_suffix_n_tokens,candidate_plus_suffix_logprob,model_name,model_path,torch_dtype,device_map
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,1,1,ESI,,allowed,allowed,obligatory,obligatory,weaker,allowed,Drinking is ,Drinking is, ,., allowed,[5420],"[""Ġallowed""]",[-5.5144853591918945],1,-5.5144853592, allowed.,"[5420,13]","[""Ġallowed"","".""]","[-5.5473103523254395,-3.7748870849609375]",2,-9.3221974373,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,1,1,ESI,,allowed,allowed,obligatory,obligatory,stronger,obligatory,Drinking is ,Drinking is, ,., obligatory,[96924],"[""Ġobligatory""]",[-10.209797859191895],1,-10.2097978592, obligatory.,"[96924,13]","[""Ġobligatory"","".""]","[-10.273872375488281,-2.404552698135376]",2,-12.6784250736,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,2,2,ESI,,attractive,attractive,stunning,stunning,weaker,attractive,This model is ,This model is, ,., attractive,[18879],"[""Ġattractive""]",[-9.606202125549316],1,-9.6062021255, attractive.,"[18879,13]","[""Ġattractive"","".""]","[-9.63290786743164,-3.9456253051757812]",2,-13.5785331726,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,2,2,ESI,,attractive,attractive,stunning,stunning,stronger,stunning,This model is ,This model is, ,., stunning,[19850],"[""Ġstunning""]",[-7.864014625549316],1,-7.8640146255, stunning.,"[19850,13]","[""Ġstunning"","".""]","[-7.859470367431641,-1.51274573802948]",2,-9.3722161055,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,3,3,ESI,,begin,began,complete,completed,weaker,began,John ,John, , the race., began,[6009],"[""Ġbegan""]",[-7.605676651000977],1,-7.6056766510, began the race.,"[6009,279,6957,13]","[""Ġbegan"",""Ġthe"",""Ġrace"","".""]","[-7.6919145584106445,-3.7784457206726074,-6.200024604797363,-6.603334426879883]",4,-24.2737193108,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,3,3,ESI,,begin,began,complete,completed,stronger,completed,John ,John, , the race., completed,[8145],"[""Ġcompleted""]",[-8.043176651000977],1,-8.0431766510, completed the race.,"[8145,279,6957,13]","[""Ġcompleted"",""Ġthe"",""Ġrace"","".""]","[-8.098164558410645,-2.311107873916626,-6.602827072143555,-2.7758326530456543]",4,-19.7879321575,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,4,4,ESI,,believe,believes,know,knows,weaker,believes,The teacher ,The teacher, , it is true., believes,[13605],"[""Ġbelieves""]",[-8.616467475891113],1,-8.6164674759, believes it is true.,"[13605,432,374,830,13]","[""Ġbelieves"",""Ġit"",""Ġis"",""Ġtrue"","".""]","[-8.588349342346191,-5.141410827636719,-0.4722394347190857,-6.642420291900635,-3.0679092407226562]",5,-23.9123291373,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,4,4,ESI,,believe,believes,know,knows,stronger,knows,The teacher ,The teacher, , it is true., knows,[8788],"[""Ġknows""]",[-6.803967475891113],1,-6.8039674759, knows it is true.,"[8788,432,374,830,13]","[""Ġknows"",""Ġit"",""Ġis"",""Ġtrue"","".""]","[-6.838349342346191,-4.3511247634887695,-1.0823160409927368,-4.756582260131836,-2.353842258453369]",5,-19.3822146654,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,5,5,ESI,,big,big,enormous,enormous,weaker,big,The elephant is ,The elephant is, ,., big,[2409],"[""Ġbig""]",[-4.62158727645874],1,-4.6215872765, big.,"[2409,13]","[""Ġbig"","".""]","[-4.649178504943848,-2.1519217491149902]",2,-6.8011002541,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
experiment_1,stimuli_prompts/experiment_1_scoring_stimuli.csv,5,5,ESI,,big,big,enormous,enormous,stronger,enormous,The elephant is ,The elephant is, ,., enormous,[22399],"[""Ġenormous""]",[-8.746587753295898],1,-8.7465877533, enormous.,"[22399,13]","[""Ġenormous"","".""]","[-8.742928504943848,-1.8381050825119019]",2,-10.5810335875,Qwen/Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
