item_id,condition,sub_experiment,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,question_sentence_guess,question_auxiliary,question_generation_method,answer_sentence_guess,answer_only_insertion_method,prompt_prefix_for_qwen,target_word_seen_by_participants,answer_suffix_after_target,prompt_with_blank,dialogue_with_answer_guess,dialogue_with_stronger_answer_guess,reconstruction_note,needs_manual_review
1,Eonlystrong,QUD+only,allowed,allowed,obligatory,obligatory,Is drinking obligatory?,is,aux_inversion,Drinking is only allowed.,insert_only_before_target,"Sue: Is drinking obligatory?
Mary: Drinking is only ",allowed,.,"Sue: Is drinking obligatory?
Mary: Drinking is only ___.","Sue: Is drinking obligatory?
Mary: Drinking is only allowed.","Sue: Is drinking obligatory?
Mary: Drinking is only obligatory.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
2,Eonlystrong,QUD+only,attractive,attractive,stunning,stunning,Is this model stunning?,is,aux_inversion,This model is only attractive.,insert_only_before_target,"Sue: Is this model stunning?
Mary: This model is only ",attractive,.,"Sue: Is this model stunning?
Mary: This model is only ___.","Sue: Is this model stunning?
Mary: This model is only attractive.","Sue: Is this model stunning?
Mary: This model is only stunning.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
3,Eonlystrong,QUD+only,begin,began,complete,completed,Did John complete the race?,did,do_support,John only began the race.,insert_only_before_target,"Sue: Did John complete the race?
Mary: John only ",began, the race.,"Sue: Did John complete the race?
Mary: John only ___ the race.","Sue: Did John complete the race?
Mary: John only began the race.","Sue: Did John complete the race?
Mary: John only completed the race.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,yes
4,Eonlystrong,QUD+only,believe,believes,know,knows,Does the teacher know it is true?,does,do_support,The teacher only believes it is true.,insert_only_before_target,"Sue: Does the teacher know it is true?
Mary: The teacher only ",believes, it is true.,"Sue: Does the teacher know it is true?
Mary: The teacher only ___ it is true.","Sue: Does the teacher know it is true?
Mary: The teacher only believes it is true.","Sue: Does the teacher know it is true?
Mary: The teacher only knows it is true.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,yes
5,Eonlystrong,QUD+only,big,big,enormous,enormous,Is the elephant enormous?,is,aux_inversion,The elephant is only big.,insert_only_before_target,"Sue: Is the elephant enormous?
Mary: The elephant is only ",big,.,"Sue: Is the elephant enormous?
Mary: The elephant is only ___.","Sue: Is the elephant enormous?
Mary: The elephant is only big.","Sue: Is the elephant enormous?
Mary: The elephant is only enormous.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
6,Eonlystrong,QUD+only,cool,cool,cold,cold,Is the weather cold?,is,aux_inversion,The weather is only cool.,insert_only_before_target,"Sue: Is the weather cold?
Mary: The weather is only ",cool,.,"Sue: Is the weather cold?
Mary: The weather is only ___.","Sue: Is the weather cold?
Mary: The weather is only cool.","Sue: Is the weather cold?
Mary: The weather is only cold.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
7,Eonlystrong,QUD+only,damage,damage,destroy,destroy,Might the machine destroy itself?,might,aux_inversion,The machine might only damage itself.,insert_only_before_target,"Sue: Might the machine destroy itself?
Mary: The machine might only ",damage, itself.,"Sue: Might the machine destroy itself?
Mary: The machine might only ___ itself.","Sue: Might the machine destroy itself?
Mary: The machine might only damage itself.","Sue: Might the machine destroy itself?
Mary: The machine might only destroy itself.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
8,Eonlystrong,QUD+only,dark,dark,black,black,Is the sky black?,is,aux_inversion,The sky is only dark.,insert_only_before_target,"Sue: Is the sky black?
Mary: The sky is only ",dark,.,"Sue: Is the sky black?
Mary: The sky is only ___.","Sue: Is the sky black?
Mary: The sky is only dark.","Sue: Is the sky black?
Mary: The sky is only black.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
9,Eonlystrong,QUD+only,difficult,difficult,impossible,impossible,Is the task impossible?,is,aux_inversion,The task is only difficult.,insert_only_before_target,"Sue: Is the task impossible?
Mary: The task is only ",difficult,.,"Sue: Is the task impossible?
Mary: The task is only ___.","Sue: Is the task impossible?
Mary: The task is only difficult.","Sue: Is the task impossible?
Mary: The task is only impossible.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
10,Eonlystrong,QUD+only,dirty,dirty,filthy,filthy,Was Zack's carpet filthy?,was,aux_inversion,Zack's carpet was only dirty.,insert_only_before_target,"Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was only ",dirty,.,"Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was only ___.","Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was only dirty.","Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was only filthy.",Experiment 4 reconstructed by combining the strong-QUD question from Experiment 2 with the only-marked answer from Experiment 3.,no
