experiment,condition,item_id,N,response_rate,trigger_lemma,query_lemma,trigger_surface,query_surface,trigger_logprob,query_logprob,ordering_score,query_more_likely_than_trigger,score_type,model_name
experiment_1,ESI,1,40,0.8250000000,allowed,obligatory,allowed,obligatory,-9.3221974373,-12.6784250736,-3.3562276363,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,2,40,0.0500000000,attractive,stunning,attractive,stunning,-13.5785331726,-9.3722161055,4.2063170671,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,3,40,0.2000000000,begin,complete,began,completed,-24.2737193108,-19.7879321575,4.4857871533,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,4,40,0.6250000000,believe,know,believes,knows,-23.9123291373,-19.3822146654,4.5301144719,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,5,40,0.0500000000,big,enormous,big,enormous,-6.8011002541,-10.5810335875,-3.7799333334,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,6,40,0.4250000000,cool,cold,cool,cold,-8.0858974457,-6.6298205853,1.4560768604,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,7,40,0.3750000000,damage,destroy,damage,destroy,-15.1473805904,-13.5433440208,1.6040365696,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,8,40,0.2750000000,dark,black,dark,black,-6.1959798336,-7.2538244724,-1.0578446388,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,9,40,0.7000000000,difficult,impossible,difficult,impossible,-12.9621951580,-14.3073186874,-1.3451235294,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,10,40,0.0750000000,dirty,filthy,dirty,filthy,-5.2046061456,-10.0855756104,-4.8809694648,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,11,40,0.2250000000,dislike,loathe,dislikes,loathes,-22.5868043900,-26.6401795717,-4.0533751817,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,12,40,0.5250000000,double,triple,double,triple,-12.5051188469,-14.5054430962,-2.0003242493,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,13,40,0.6750000000,equally,more,equally,more,-16.7791094780,-15.8651127815,0.9139966965,true,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,14,40,0.0500000000,funny,hilarious,funny,hilarious,-7.8701667786,-8.2986145020,-0.4284477234,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,15,40,0.3000000000,good,excellent,good,excellent,-7.9378693104,-8.2725582123,-0.3346889019,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,16,40,0.0500000000,happy,ecstatic,happy,ecstatic,-12.6285166740,-12.8148181438,-0.1863014698,false,candidate_plus_suffix,Qwen/Qwen2-7B
experiment_1,ESI,17,40,0.5750000000,hard,unsolvable,hard,unsolvable,-9.9160709381,-12.3791748285,-2.4631038904,false,candidate_plus_suffix,Qwen/Qwen2-7B
