experiment,condition,item_id,N,sum_response,response_rate
experiment_1,ESI,1,40,33,0.8250000000
experiment_1,ESI,2,40,2,0.0500000000
experiment_1,ESI,3,40,8,0.2000000000
experiment_1,ESI,4,40,25,0.6250000000
experiment_1,ESI,5,40,2,0.0500000000
experiment_1,ESI,6,40,17,0.4250000000
experiment_1,ESI,7,40,15,0.3750000000
experiment_1,ESI,8,40,11,0.2750000000
experiment_1,ESI,9,40,28,0.7000000000
experiment_1,ESI,10,40,3,0.0750000000
experiment_1,ESI,11,40,9,0.2250000000
experiment_1,ESI,12,40,21,0.5250000000
experiment_1,ESI,13,40,27,0.6750000000
experiment_1,ESI,14,40,2,0.0500000000
experiment_1,ESI,15,40,12,0.3000000000
experiment_1,ESI,16,40,2,0.0500000000
experiment_1,ESI,17,40,23,0.5750000000
experiment_1,ESI,18,40,8,0.2000000000
experiment_1,ESI,19,40,20,0.5000000000
experiment_1,ESI,20,40,8,0.2000000000
experiment_1,ESI,21,40,2,0.0500000000
experiment_1,ESI,22,40,7,0.1750000000
experiment_1,ESI,23,40,28,0.7000000000
experiment_1,ESI,24,40,4,0.1000000000
experiment_1,ESI,25,40,35,0.8750000000
experiment_1,ESI,26,40,35,0.8750000000
experiment_1,ESI,27,40,13,0.3250000000
experiment_1,ESI,28,40,28,0.7000000000
experiment_1,ESI,29,40,10,0.2500000000
experiment_1,ESI,30,40,4,0.1000000000
experiment_1,ESI,31,40,24,0.6000000000
experiment_1,ESI,32,40,19,0.4750000000
experiment_1,ESI,33,40,38,0.9500000000
experiment_1,ESI,34,40,26,0.6500000000
experiment_1,ESI,35,40,2,0.0500000000
experiment_1,ESI,36,40,33,0.8250000000
experiment_1,ESI,37,40,3,0.0750000000
experiment_1,ESI,38,40,31,0.7750000000
experiment_1,ESI,39,40,22,0.5500000000
experiment_1,ESI,40,40,32,0.8000000000
experiment_1,ESI,41,40,1,0.0250000000
experiment_1,ESI,42,40,3,0.0750000000
experiment_1,ESI,43,40,29,0.7250000000
experiment_1,ESI,44,40,33,0.8250000000
experiment_1,ESI,45,40,7,0.1750000000
experiment_1,ESI,46,40,4,0.1000000000
experiment_1,ESI,47,40,37,0.9250000000
experiment_1,ESI,48,40,11,0.2750000000
experiment_1,ESI,49,40,10,0.2500000000
experiment_1,ESI,50,40,1,0.0250000000
experiment_1,ESI,51,40,26,0.6500000000
experiment_1,ESI,52,40,31,0.7750000000
experiment_1,ESI,53,40,2,0.0500000000
experiment_1,ESI,54,40,4,0.1000000000
experiment_1,ESI,55,40,2,0.0500000000
experiment_1,ESI,56,40,26,0.6500000000
experiment_1,ESI,57,40,6,0.1500000000
experiment_1,ESI,58,40,16,0.4000000000
experiment_1,ESI,59,40,5,0.1250000000
experiment_1,ESI,60,40,3,0.0750000000
experiment_2,Eweak,1,39,28,0.7179487179
experiment_2,Eweak,2,42,5,0.1190476190
experiment_2,Eweak,3,39,6,0.1538461538
experiment_2,Eweak,4,42,14,0.3333333333
experiment_2,Eweak,5,39,5,0.1282051282
experiment_2,Eweak,6,42,18,0.4285714286
experiment_2,Eweak,7,39,10,0.2564102564
experiment_2,Eweak,8,42,7,0.1666666667
experiment_2,Eweak,9,39,27,0.6923076923
experiment_2,Eweak,10,42,2,0.0476190476
experiment_2,Eweak,11,39,10,0.2564102564
experiment_2,Eweak,12,42,17,0.4047619048
experiment_2,Eweak,13,39,24,0.6153846154
experiment_2,Eweak,14,42,5,0.1190476190
experiment_2,Eweak,15,39,10,0.2564102564
experiment_2,Eweak,16,42,4,0.0952380952
experiment_2,Eweak,17,39,24,0.6153846154
experiment_2,Eweak,18,42,7,0.1666666667
experiment_2,Eweak,19,39,12,0.3076923077
experiment_2,Eweak,20,42,11,0.2619047619
experiment_2,Eweak,21,39,4,0.1025641026
experiment_2,Eweak,22,42,5,0.1190476190
experiment_2,Eweak,23,39,24,0.6153846154
experiment_2,Eweak,24,42,6,0.1428571429
experiment_2,Eweak,25,39,27,0.6923076923
experiment_2,Eweak,26,42,33,0.7857142857
experiment_2,Eweak,27,39,5,0.1282051282
experiment_2,Eweak,28,42,30,0.7142857143
experiment_2,Eweak,29,39,8,0.2051282051
experiment_2,Eweak,30,42,8,0.1904761905
experiment_2,Eweak,31,39,15,0.3846153846
experiment_2,Eweak,32,42,22,0.5238095238
experiment_2,Eweak,33,39,35,0.8974358974
experiment_2,Eweak,34,42,26,0.6190476190
experiment_2,Eweak,35,39,3,0.0769230769
experiment_2,Eweak,36,42,23,0.5476190476
experiment_2,Eweak,37,39,4,0.1025641026
experiment_2,Eweak,38,42,31,0.7380952381
experiment_2,Eweak,39,39,18,0.4615384615
experiment_2,Eweak,40,42,23,0.5476190476
experiment_2,Eweak,41,39,5,0.1282051282
experiment_2,Eweak,42,42,6,0.1428571429
experiment_2,Eweak,43,39,29,0.7435897436
experiment_2,Eweak,44,42,27,0.6428571429
experiment_2,Eweak,45,39,5,0.1282051282
experiment_2,Eweak,46,42,4,0.0952380952
experiment_2,Eweak,47,39,31,0.7948717949
experiment_2,Eweak,48,42,9,0.2142857143
experiment_2,Eweak,49,39,11,0.2820512821
experiment_2,Eweak,50,42,3,0.0714285714
experiment_2,Eweak,51,39,27,0.6923076923
experiment_2,Eweak,52,42,12,0.2857142857
experiment_2,Eweak,53,39,1,0.0256410256
experiment_2,Eweak,54,42,10,0.2380952381
experiment_2,Eweak,55,39,1,0.0256410256
experiment_2,Eweak,56,42,25,0.5952380952
experiment_2,Eweak,57,39,3,0.0769230769
experiment_2,Eweak,58,42,19,0.4523809524
experiment_2,Eweak,59,39,5,0.1282051282
experiment_2,Eweak,60,42,10,0.2380952381
experiment_2,Estrong,1,42,33,0.7857142857
experiment_2,Estrong,2,39,20,0.5128205128
experiment_2,Estrong,3,42,29,0.6904761905
experiment_2,Estrong,4,39,24,0.6153846154
experiment_2,Estrong,5,42,13,0.3095238095
experiment_2,Estrong,6,39,19,0.4871794872
experiment_2,Estrong,7,42,32,0.7619047619
experiment_2,Estrong,8,39,24,0.6153846154
experiment_2,Estrong,9,42,37,0.8809523810
experiment_2,Estrong,10,39,13,0.3333333333
experiment_2,Estrong,11,42,20,0.4761904762
