Weaker,Stronger,Sentence frame (Experiment 1)
allowed,obligatory,Drinking is allowed.
attractive,stunning,This model is attractive.
begin,complete,John began the race.
believe,know,The teacher believes it is true.
big,enormous,The elephant is big.
cool,cold,The weather is cool.
damage,destroy,The machine might damage itself.
dark,black,The sky is dark.
difficult,impossible,The task is difficult.
dirty,filthy,Zack's carpet was dirty.
dislike,loathe,The doctor dislikes coffee.
double,triple,The sales will double. 
equally,more,That candidate is equally skilled.
funny,hilarious,The movie is funny.
good,excellent,The movie is good.
happy,ecstatic,The winner was happy.
hard,unsolvable,The problem is hard.
harmful,deadly,The toxin is harmful. 
here,everywhere,There is water here.
hungry,starving,The boy is hungry.
intelligent,brilliant,The student is intelligent.
intimidating,terrifying,Chris's opponent was intimidating.
largely,totally,The coast was largely flooded.
like,love,The princess likes dancing.
match,exceed,Bill's score matches Al's.
mostly,entirely,Peter's answers were mostly wrong.
old,ancient,The house is old.
once,twice,Mistakes happened once.
or,and,Jimmy writes books or plays.
overweight,obese,The teenager is overweight.
overwhelmingly,unanimously,The measure was supported overwhelmingly.
palatable,delicious,The wine is palatable.
partially,completely,The tank is partially full.
permit,require,The club permits dancing. 
polished,impeccable,Ann's speech was polished.
possible,certain,Success is possible.
pretty,beautiful,The girl is pretty.
primarily,exclusively,The residents are primarily Greek.
probably,necessarily,A delay will probably occur.
reduce,eliminate,The city reduced waste.
scared,petrified,Stu's daughter was scared.
serious,life-threatening,Kaye's illness was serious.
similar,identical,The two paintings are similar.
slow,stop,The train slowed.
small,tiny,The fish is small.
snug,tight,The shirt is snug.
some,all,Cecilia trusts some politicians.
start,finish,The runner started.
survive,thrive,The plant survived.
tired,exhausted,The worker is tired.
tolerate,encourage,Joey's parents tolerate dating.
try,succeed,The candidate tried.
ugly,hideous,The wallpaper is ugly.
understandable,articulate,Tom's interview was understandable.
unpleasant,disgusting,Tim's bathroom was unpleasant.
usually,always,The lawyer is usually early.
want,need,Phoebe wants a car.
warm,hot,The wather is warm.
well,superbly,The rehearsal went well.
willing,eager,The waiter is willing.
