experiment,condition,item_id,N,response_rate,trigger_lemma,query_lemma,trigger_surface,query_surface,trigger_logprob,query_logprob,ordering_score,query_more_likely_than_trigger,score_type,model_name
experiment_1,ESI,1,40,0.8250000000,allowed,obligatory,allowed,obligatory,-5.5144853592,-10.2097978592,-4.6953125000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,2,40,0.0500000000,attractive,stunning,attractive,stunning,-9.6062021255,-7.8640146255,1.7421875000,true,word,Qwen/Qwen2-7B
experiment_1,ESI,3,40,0.2000000000,begin,complete,began,completed,-7.6056766510,-8.0431766510,-0.4375000000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,4,40,0.6250000000,believe,know,believes,knows,-8.6164674759,-6.8039674759,1.8125000000,true,word,Qwen/Qwen2-7B
experiment_1,ESI,5,40,0.0500000000,big,enormous,big,enormous,-4.6215872765,-8.7465877533,-4.1250004768,false,word,Qwen/Qwen2-7B
experiment_1,ESI,6,40,0.4250000000,cool,cold,cool,cold,-5.2573347092,-4.0073347092,1.2500000000,true,word,Qwen/Qwen2-7B
experiment_1,ESI,7,40,0.3750000000,damage,destroy,damage,destroy,-7.5887079239,-7.8543329239,-0.2656250000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,8,40,0.2750000000,dark,black,dark,black,-3.9008283615,-5.1508283615,-1.2500000000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,9,40,0.7000000000,difficult,impossible,difficult,impossible,-10.1617650986,-11.8492650986,-1.6875000000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,10,40,0.0750000000,dirty,filthy,dirty,filthy,-5.0720615387,-9.7595615387,-4.6875000000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,11,40,0.2250000000,dislike,loathe,dislikes,loathes,-12.7017602921,-16.0800248953,-3.3782646032,false,word,Qwen/Qwen2-7B
experiment_1,ESI,12,40,0.5250000000,double,triple,double,triple,-8.3120994568,-10.6870994568,-2.3750000000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,13,40,0.6750000000,equally,more,equally,more,-8.4349508286,-5.6068258286,2.8281250000,true,word,Qwen/Qwen2-7B
experiment_1,ESI,14,40,0.0500000000,funny,hilarious,funny,hilarious,-5.4411926270,-6.5974426270,-1.1562500000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,15,40,0.3000000000,good,excellent,good,excellent,-5.5661926270,-6.4411926270,-0.8750000000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,16,40,0.0500000000,happy,ecstatic,happy,ecstatic,-9.2202911377,-11.3687286377,-2.1484375000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,17,40,0.5750000000,hard,unsolvable,hard,unsolvable,-7.5918712616,-10.1927996874,-2.6009284258,false,word,Qwen/Qwen2-7B
experiment_1,ESI,18,40,0.2000000000,harmful,deadly,harmful,deadly,-7.0123028755,-6.7935528755,0.2187500000,true,word,Qwen/Qwen2-7B
experiment_1,ESI,19,40,0.5000000000,here,everywhere,here,everywhere,-4.5482549667,-2.5482552052,1.9999997615,true,word,Qwen/Qwen2-7B
experiment_1,ESI,20,40,0.2000000000,hungry,starving,hungry,starving,-6.4657382965,-11.0594882965,-4.5937500000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,21,40,0.0500000000,intelligent,brilliant,intelligent,brilliant,-8.3973369598,-9.0692119598,-0.6718750000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,22,40,0.1750000000,intimidating,terrifying,intimidating,terrifying,-11.5358753204,-11.9108753204,-0.3750000000,false,word,Qwen/Qwen2-7B
experiment_1,ESI,23,40,0.7000000000,largely,totally,largely,totally,-6.7921271324,-7.7921271324,-1.0000000000,false,word,Qwen/Qwen2-7B
