prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,weak_sentence_frame,weak_surface_in_sentence,target_text,context_text,continuation_text,moved_prompt_boundary_text,suffix_text,prompt_with_blank,full_text,prompt_source,weak_extraction_method,stronger_surface_method,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space,target_token_ids,target_tokens,target_token_logprobs,target_n_tokens,target_logprob,model_name,model_path,resolved_model_path,torch_dtype,device_map
g18__g18_046__template_default__adequate_good__no_frame,g18,Gotzner et al. (2018),g18_046,adequate/good,adequate,good,adequate,good,adj,default,"It is adequate, but not good.",0.44,True,cross-scale/human_data/g18.csv,It is adequate.,adequate,good,It is, good, ,.,It is ___.,It is good.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[1661],"[""Ġgood""]",[-6.733513355255127],1,-6.7335133553,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_005__template_default__ajar_open__no_frame,g18,Gotzner et al. (2018),g18_005,ajar/open,ajar,open,ajar,open,adj,default,"It is ajar, but not open.",0.11,True,cross-scale/human_data/g18.csv,It is ajar.,ajar,open,It is, open, ,.,It is ___.,It is open.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[1787],"[""Ġopen""]",[-9.889762878417969],1,-9.8897628784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_062__template_default__allowed_obligatory__no_frame,g18,Gotzner et al. (2018),g18_062,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,default,"It is allowed, but not obligatory.",0.73,True,cross-scale/human_data/g18.csv,It is allowed.,allowed,obligatory,It is, obligatory, ,.,It is ___.,It is obligatory.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[96924],"[""Ġobligatory""]",[-11.233512878417969],1,-11.2335128784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_052__template_default__annoyed_angry__no_frame,g18,Gotzner et al. (2018),g18_052,annoyed/angry,annoyed,angry,annoyed,angry,adj,default,"She is annoyed, but not angry.",0.51,True,cross-scale/human_data/g18.csv,She is annoyed.,annoyed,angry,She is, angry, ,.,She is ___.,She is angry.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[18514],"[""Ġangry""]",[-8.004365921020508],1,-8.0043659210,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_001__template_default__attractive_stunning__no_frame,g18,Gotzner et al. (2018),g18_001,attractive/stunning,attractive,stunning,attractive,stunning,adj,default,"He is attractive, but not stunning.",0.08,True,cross-scale/human_data/g18.csv,He is attractive.,attractive,stunning,He is, stunning, ,.,He is ___.,He is stunning.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[19850],"[""Ġstunning""]",[-12.238079071044922],1,-12.2380790710,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_049__template_default__bent_twisted__no_frame,g18,Gotzner et al. (2018),g18_049,bent/twisted,bent,twisted,bent,twisted,adj,default,"It is bent, but not twisted.",0.46,True,cross-scale/human_data/g18.csv,It is bent.,bent,twisted,It is, twisted, ,.,It is ___.,It is twisted.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[37717],"[""Ġtwisted""]",[-15.671012878417969],1,-15.6710128784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_006__template_default__big_enormous__no_frame,g18,Gotzner et al. (2018),g18_006,big/enormous,big,enormous,big,enormous,adj,default,"She is big, but not enormous.",0.14,True,cross-scale/human_data/g18.csv,She is big.,big,enormous,She is, enormous, ,.,She is ___.,She is enormous.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[22399],"[""Ġenormous""]",[-12.949678421020508],1,-12.9496784210,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_023__template_default__calm_unflappable__no_frame,g18,Gotzner et al. (2018),g18_023,calm/unflappable,calm,unflappable,calm,unflappable,adj,default,"She is calm, but not unflappable.",0.25,True,cross-scale/human_data/g18.csv,She is calm.,calm,unflappable,She is, unflappable, ,.,She is ___.,She is unflappable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,"[650,1489,86384]","[""Ġun"",""fl"",""appable""]","[-8.965051651000977,-3.6203553676605225,-0.331972599029541]",3,-12.9173796177,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_065__template_default__cheap_free__no_frame,g18,Gotzner et al. (2018),g18_065,cheap/free,cheap,free,cheap,free,adj,default,"It is cheap, but not free.",0.76,True,cross-scale/human_data/g18.csv,It is cheap.,cheap,free,It is, free, ,.,It is ___.,It is free.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[1910],"[""Ġfree""]",[-9.233512878417969],1,-9.2335128784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
g18__g18_036__template_default__chubby_fat__no_frame,g18,Gotzner et al. (2018),g18_036,chubby/fat,chubby,fat,chubby,fat,adj,default,"She is chubby, but not fat.",0.32,True,cross-scale/human_data/g18.csv,She is chubby.,chubby,fat,She is, fat, ,.,She is ___.,She is fat.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True,[8664],"[""Ġfat""]",[-9.551240921020508],1,-9.5512409210,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
